grid,long,lat
E030005,-121.1522,20.08733
E031005,-120.8343,20.16804
E032005,-120.5157,20.24773
E033005,-120.1965,20.32641
E034005,-119.8768,20.40407
E035005,-119.5565,20.4807
E036005,-119.2356,20.55631
E037005,-118.9141,20.63087
E038005,-118.5921,20.70441
E039005,-118.2695,20.7769
E040005,-117.9464,20.84835
E041005,-117.6227,20.91874
E042005,-117.2985,20.98808
E043005,-116.9738,21.05636
E044005,-116.6485,21.12358
E045005,-116.3228,21.18974
E046005,-115.9965,21.25483
E047005,-115.6698,21.31886
E048005,-115.3425,21.38179
E049005,-115.0148,21.44365
E050005,-114.6866,21.50443
E051005,-114.3579,21.56412
E052005,-114.0287,21.62273
E053005,-113.6992,21.68022
E054005,-113.3691,21.73663
E055005,-113.0387,21.79195
E056005,-112.7077,21.84617
E057005,-112.3764,21.89926
E058005,-112.0447,21.95126
E059005,-111.7126,22.00215
E060005,-111.38,22.0519
E061005,-111.0471,22.10056
E062005,-110.7138,22.1481
E063005,-110.3801,22.1945
E064005,-110.0461,22.23978
E065005,-109.7117,22.28394
E066005,-109.3769,22.32696
E067005,-109.0418,22.36884
E068005,-108.7064,22.40961
E069005,-108.3707,22.44921
E070005,-108.0346,22.48769
E071005,-107.6983,22.52503
E072005,-107.3616,22.56123
E073005,-107.0247,22.59626
E074005,-106.6875,22.63015
E075005,-106.35,22.66289
E076005,-106.0123,22.69449
E077005,-105.6743,22.72492
E078005,-105.3361,22.7542
E079005,-104.9976,22.78233
E080005,-104.659,22.80929
E081005,-104.3201,22.8351
E082005,-103.981,22.85973
E083005,-103.6417,22.8832
E084005,-103.3022,22.90551
E085005,-102.9625,22.92665
E086005,-102.6227,22.94663
E087005,-102.2827,22.96545
E088005,-101.9426,22.98308
E089005,-101.6024,22.99954
E090005,-101.262,23.01483
E091005,-100.9214,23.02895
E092005,-100.5808,23.04189
E093005,-100.2401,23.05367
E094005,-99.89926,23.06426
E095005,-99.55838,23.07367
E096005,-99.21741,23.08193
E097005,-98.87637,23.08899
E098005,-98.53528,23.09489
E099005,-98.19415,23.0996
E100005,-97.853,23.10313
E101005,-97.51181,23.10548
E102005,-97.17059,23.10667
E103005,-96.82941,23.10667
E104005,-96.48822,23.10548
E105005,-96.14703,23.10313
E106005,-95.80585,23.0996
E107005,-95.46472,23.09489
E108005,-95.12366,23.08899
E109005,-94.78259,23.08193
E110005,-94.44165,23.07367
E111005,-94.10074,23.06426
E112005,-93.75992,23.05367
E113005,-93.41919,23.04189
E114005,-93.07858,23.02895
E115005,-92.73807,23.01483
E116005,-92.39767,22.99954
E117005,-92.0574,22.98308
E118005,-91.71729,22.96545
E119005,-91.37729,22.94663
E120005,-91.03748,22.92665
E121005,-90.69781,22.90551
E122005,-90.35834,22.8832
E123005,-90.01904,22.85973
E124005,-89.67996,22.8351
E125005,-89.34106,22.80929
E126005,-89.00238,22.78233
E127005,-88.66394,22.7542
E128005,-88.32568,22.72492
E129005,-87.98773,22.69449
E130005,-87.64996,22.66289
E131005,-87.3125,22.63015
E132005,-86.97528,22.59626
E133005,-86.63837,22.56123
E134005,-86.30173,22.52503
E135005,-85.96536,22.48769
E136005,-85.62933,22.44921
E137005,-85.29358,22.40961
E138005,-84.95819,22.36884
E139005,-84.62311,22.32696
E140005,-84.28833,22.28394
E141005,-83.95395,22.23978
E142005,-83.6199,22.1945
E143005,-83.28622,22.1481
